Dish ID,Dish Name,Category,Current Image,Current Status,Best Candidate,Score,Confidence,Historical,Conflict
6a845a7b2876405dd5375e06,"Symphonie Terre-Mer","Fruits de mer","https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E91-B691-4A8E-8F76-665B275F1812_wdtkew.png",CONFLICT,"C:\Users\boukh\OneDrive\Bureau\restaurant\bizzart-restaurant\frontend\public\images\gallery\fruits-mer-creme.jpg",63.7,LOW_CONFIDENCE,NONE,YES
6a845a7b2876405dd5375e09,"Poulet grillé","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG_1786831381120_cigb5d.jpg",CONFLICT,"C:\Users\boukh\OneDrive\Bureau\restaurant\bizzart-restaurant\frontend\public\images\gallery\poulet-grille-herbes.jpg",40.8,LOW_CONFIDENCE,NONE,YES
6a845a7b2876405dd5375e0c,"Poulet Mexicain","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_9720_jytrma.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141468/bizzart/menu/categories/tacos.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e0f,"Poulet Pané","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo_-_R_Download_7_usi3f8.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141468/bizzart/menu/categories/tacos.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e12,"Cordon Bleu","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141468/bizzart/menu/categories/tacos.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e15,"Viande Hachée","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9ECFF-989F-45B7-8E9F-1AA5833C3B1D_uwxwjx.png",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141440/bizzart/menu/categories/viandes.jpg",43.2,LOW_CONFIDENCE,NONE,YES
6a845a7b2876405dd5375e18,"Thon","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg",CONFLICT,"C:\Users\boukh\OneDrive\Bureau\restaurant\bizzart-restaurant\frontend\public\images\gallery\pizza-thon-grosplan.jpg",35.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e1b,"Poulet grillé","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG_1786831623991_kranmd.jpg",CONFLICT,"C:\Users\boukh\OneDrive\Bureau\restaurant\bizzart-restaurant\frontend\public\images\gallery\poulet-grille-herbes.jpg",40.8,LOW_CONFIDENCE,NONE,YES
6a845a7b2876405dd5375e1e,"Poulet Mexicain","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141470/bizzart/menu/categories/makioub.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e21,"Poulet Pané","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG_1786831383530_jofqku.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141470/bizzart/menu/categories/makioub.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e24,"Cordon Bleu","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141470/bizzart/menu/categories/makioub.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e27,"Spécial","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141470/bizzart/menu/categories/makioub.jpg",33.5,NO_MATCH,NONE,YES
6a8599cf0676fa99edaa848e,"Frite","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC2E-1EDE-404C-8597-0006112AC6C2_beeo60.png",17.5,NO_MATCH,NONE,NO
6a8599cf0676fa99edaa8491,"Gruyère","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC2E-1EDE-404C-8597-0006112AC6C2_beeo60.png",17.5,NO_MATCH,NONE,NO
6a8599cf0676fa99edaa8494,"Emmental","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC2E-1EDE-404C-8597-0006112AC6C2_beeo60.png",17.5,NO_MATCH,NONE,NO
