Dish ID,Dish Name,Category,Current Image,Proposed Image,Score,Confidence,Reasons
6a845a7b2876405dd5375e09,"Poulet grillé","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG_1786831381120_cigb5d.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG_1786831381120_cigb5d.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e0c,"Poulet Mexicain","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_9720_jytrma.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_9720_jytrma.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e0f,"Poulet Pané","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo_-_R_Download_7_usi3f8.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo_-_R_Download_7_usi3f8.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e12,"Cordon Bleu","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e15,"Viande Hachée","Tacos","https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9ECFF-989F-45B7-8E9F-1AA5833C3B1D_uwxwjx.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9ECFF-989F-45B7-8E9F-1AA5833C3B1D_uwxwjx.png",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e18,"Thon","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e1b,"Poulet grillé","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG_1786831623991_kranmd.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG_1786831623991_kranmd.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e1e,"Poulet Mexicain","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e21,"Poulet Pané","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG_1786831383530_jofqku.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG_1786831383530_jofqku.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7b2876405dd5375e24,"Cordon Bleu","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG_1786831385645_vzx61b.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
